Lot Number,Current Bid,Name,Brand,Model,UPC,Condition,Functionality,Damage?,Missing Items?,Damage Description,Missing Item Description,Notes,Grand Average Price,Average Shipping Price,Recommended Highest Bid Amount,Current Profit Margin,Flagged
250,$0.00,"WelFurGeer Silverware Drawer Organizer Tray, Utensil Organizer for Kitchen Drawers, Wood Cutlery Tray Organizer in Drawer, Flatware Drawer Organizer for Flatware, Knives in Kitchen (Natural)",WelFurGeer,ZLJ-B,,New(other),Yes,No,No,,,,,,,,No
251,$0.00,Centric 626.65809 Drag Link,Centric,626.65809,,New,Yes,No,No,,,,,,,,No
252,$7.00,for Nissan for Titan 2017-2022 5.7Ft 4Fold Hard Tonneau Cover 67' Truck Bed Rear Acrylic Blend Aluminum Fiberglass Reinforced Polymer Mounting Hardware,tadetiye,car-covers,,New,Yes,No,No,,,,,,,,No
253,$0.00,"Dimex Office Chair Mat for Low Pile Carpet with Lip, 36"" x 48"", Clear",Dimex,C511003G,,Acceptable,Yes,No,No,,,,,,,,No
254,$5.00,"10L0L Golf Cart HD Windshield for Club Car DS 2000-UP,HD Shatterproof & Foldable Windproof Windshield",10L0L,,,New(other),Yes,No,No,,,,,,,,No
255,$22.00,"LOAAO 28""X32"" LED Bathroom Mirror with Lights, Anti-Fog, Dimmable, Backlit + Front Lit, Lighted Bathroom Vanity Mirror for Wall, Memory Function, Tempered Glass, ETL Listed",LOAAO,L-L001AC7080,,New,Unable to Test,No,No,,,,,,,,No
256,$77.50,Tesla Wall Connector - Electric Vehicle (EV) Charger - Level 2 - up to 48A with 24' Cable,Tesla,Tesla-wall-parent-3,,Open Box - Not Tested,Yes,No,No,,,,,,,,No
257,$0.00,"ComfiLife Anti Fatigue Floor Mat 3/4 Inch Thick Kitchen Mats for Floor, Standing Desk Mat, Kitchen Rug Comfort at Home, Office Durable Stain Resistant Non-Slip Bottom (20"" x 39"", Black)",ComfiLife,AFM-MED-2039-BLK,,New,Yes,No,No,,,,,,,,No
258,$6.00,"Scooter, Bluetooth Speakers and LED Light-Up Wheels, APP Control, Dual 250W Motors, 8.5 mph Max Speed & 8.5 Miles Max Range, Gifts for Kids Adults Girls Boys",SIMATE,,,New(other),Yes,No,No,,,,,,,,No
259,$5.00,"Flagship Carpets Circle Sampler Abstract Educational Area Rug for Kids Room or Childrens Classroom Carpet, Playroom or Home Learning, 7'6"" x 12', Black",Flagship Carpets,Circle Abstract,034145674376,New,Yes,No,No,,,,,,,,No
260,$7.00,"Smart Scent Diffuser for Home, Waterless Essential Oil Diffuser Fine Mist APP Control, 500ml Large Capacity Diffuser Machine for Home Large Room Hotel (US Plug)",,Genericqi1u7395or-11,,Open Box - Tested,Yes,No,No,,,,,,,,No
261,$0.00,"Coavas Window Privacy Film Static Cling, Non-Adhesive Removable Privacy Window Film, Frosted Glass UV Blocking Window Tint for Home, Office, Bathroom (White Lace 17.5 x 118.1 in)",Coavas,,,New(other),Yes,No,No,,,,,,,,No
262,$19.00,WOW Sports Slide N Smile Combo Large,WOW Sports,22-WIL-4240-X,,New,Yes,No,No,,,,,,,,No
263,$5.00,"20 Inch Gold Circle Mirror with Lights Gold Frame Round Lighted Mirror for Bathroom Wall Gold Circle Round LED Mirror Anti-Fog 3 Color Dimmable Bathroom 20"" Gold Round Smart Light up Mirror",TiliKuly,Gold Round LED Mirror,,New,Yes,No,No,,,,,,,,No
264,$0.00,"WRISIN 2 Pack Shed Windows 12"" W x 18"" H Flush Mount, White Household Windows for Playhouses, Barns, Chicken Coop",WRISIN,WRS-SW01,,Very Good,Yes,No,No,,,Dents on the top of metal,,,,,No
265,$18.00,"MoNiBloom 50"" Outdoor Garden Bench with Armrests, 2-Person Modern Metal Bench for Patio Front Porch Entryway Yard, Black","MoNiBloom Type: Garden Bench Color: Black Material: Metal Overall Size: (L)50.0"" (W)22.0"" (H)31.0"" Seat Size: (L)47.0"" (W)16.5"" Seat Height: 16.0"" Seat Back Height: 17.0"" Seating Capacity: 2 Person Weight Capacity: 485 lbs Assembly Status: Assembly Required Sturdy & Rust-Resistant The outdoor garden bench is made of reinforced metal to ensure sturdiness and stability, making it heavy-duty oriented and durable enough for long-term use. The surface comes with coating for waterproof, rust resistant and weather resistant. Spacious & Comfortable Seat It can allow 2-3 adults to sit on this park bench. Importantly, this ergonomic bench can better fit the curve of human body, thus providing a comfortable rest area for you and your family and friends. Safety The garden bench edges is all finished, no raw cuts or drips to catch on clothing. All the edges of the park bench are finely polished, making every part of the outdoor bench very round and smooth. So you can relax safely on our park bench. Easy to Assemble & Maintain Specific manual and complete accessories of the garden bench greatly help you spend short time to finish the assembly work. All parts of the park bench are given a number and detailed assembly steps are listed for your reference. Besides, the smooth surfaces only need to be lightly wiped with a cloth. Perfect for Outdoors The outdoor bench applying to lots of areas, such as garden, park, patio, deck, entryway, backyard, and front porch, etc. You can put it near your entrance to your driveway, or place it on your poolside to create a leisure and relaxing space to enjoy your coffee and book time with your friends and family. Decorative This garden bench can be a decorative element in your outdoor space. It can add to the aesthetic appeal of your garden or patio by serving as a focal point or complementing the surrounding decor.",GB-003-50-BK,840256441574,New(other),Yes,No,No,,,,,,,,No
266,$9.00,"Brawny Tear-a-Square Paper Towels, 12 Double Rolls",Brawny,44473,00042000444743,New,Yes,No,No,,,,,,,,No
267,$7.00,"Depend Incontinence Guards for Men, Maximum Absorbency (52 ct., 2 pk.)",Depend,46963,036000469639,New,Yes,No,No,,,,,,,,No
268,$0.00,"2x4 FT LED Magnetic Retrofit Kit,4ft LED Troffer Retrofit Kit,36W,5400LM,Daylight White 5000K,0-10V Dimmable,T8 T10 T12 Fluorescent Replacement LED Light Strip,Easy to Install",jimwhen,,,New,Yes,No,No,,,,,,,,No
269,$7.00,"Ziploc Quart Food Storage Freezer Slider Bags, Power Shield Technology for More Durability, 30Count, Pack of 4 (120 Total Bags)",,316498,,New,Yes,No,No,,,,,,,,No
270,$6.00,"Downy Ultra Soft Fabric Softener Liquid, Refresh, Birch Water and Botanicals, 93 fl oz, 138 Loads",,30772153918,,New(other),Yes,No,No,,,,,,,,No
271,$9.00,"Cottonelle Fresh Feel Flushable Wet Wipes, Adult Wet Wipes, 8 Flip-Top Packs, 42 Wipes Per Pack (336 Total Wipes), Packaging May Vary",,10036000509943,,New,Yes,No,No,,,,,,,,No
272,$6.00,"Downy Ultra Soft Fabric Softener Liquid, Refresh, Birch Water and Botanicals, 93 fl oz, 138 Loads",,30772153918,,New(other),Yes,No,No,,,,,,,,No
273,$7.00,"Amazon Basics 2-Ply Flex-Sheets Paper Towels, 12 Basics Rolls = 32 Regular Rolls, Everyday Value with 150 Sheets per Roll",,,,New,Yes,No,No,,,,,,,,No
274,$10.00,"Kiss the Water 7.5ft Outdoor Patio Umbrella, Table Umbrella for Inside of Pool, Outdoor Market Umbrella with Push Button Tilt and Crank for Garden, Lawn, Backyard, Deck, Pool and Beach",,,,New,Yes,No,No,,,,,,,,No
275,$0.00,D'arbo Syrup Single Bottle Elderflower 500ml (16.9oz) Bottles From Austria,,,,New(other),Yes,No,No,,,,,,,,No
276,$8.00,"Nostalgia Vintage 8 Ounce Professional Popcorn Cart Makes Up to 32 Cups, Three Storage Candy & Kernel Dispenser Also for Nuts, Chocolate, Measuring Spoons and Scoop Included, Ivory, 8-ounce",Nostalgia,Vintage,,New,Yes,No,No,,,,,,,,No
277,$8.00,"Franklin Sports Grow-with-Me Kids Baseball Batting Tee + Stand Set for Youth + Toddlers - Youth Baseball, Softball + Teeball Hitting Tee Set for Boys + Girls",Franklin Sports,Franklin Sports Kids Baseball Tee - MLB 2-in-1 Grow-with-Me Tee Ball,,New,Yes,No,No,,,,,,,,No
278,$9.00,"Makita PJ7000 Plate Joiner, Blue",,PJ7000,,New,Yes,No,No,,,,,,,,No
279,$6.00,"Petgrow Synthetic Artificial Grass Turf Lawn 4ft x 10ft, 1.38"" Outdoor/Indoor Fake Grass Rug Astroturf for Dogs,Faux Grass Rug with Drainage Holes/Custom Size Provided",Petgrow,,,New(other),Yes,No,No,,,,,,,,No
280,$5.00,"LEVOIT Air Purifiers for Home Large Room Up to 1800 Ft in 1 Hr with Washable Pre-Filter, Air Quality Monitor, Smart WiFi, HEPA Sleep Mode for Allergies, Pet Hair in Bedroom, Vital 200S-P, White",,LAP-V201S-WUS,810043378659,New,Yes,No,No,,,,,,,,No
281,$14.00,Instant Pot RIO WIDE 7.5qt 7-in-1 Electric Pressure Cooker & Multi-Cooker,,,810102263537,New,Yes,No,No,,,,,,,,No
282,$8.00,"Scott Professional 100% Recycled Fiber Standard Roll Bulk Toilet Paper (13217), 2-Ply, Elevated Design, White, Individually Wrapped (80 Rolls of 473 Sheets, 37,840 Sheet Total)",,13217,,New,Yes,No,No,,,,,,,,No
283,$0.00,"KitchenClouds Cushioned Anti Fatigue Kitchen Rug, 17.3""x60"", Waterproof Non Slip, Standing Desk Mat, Comfort Floor Mat for Kitchen, House Sink, Office (Grey)",KitchenClouds,,,New,Yes,No,No,,,,,,,,No
284,$8.00,Ninja CFP105 DualBrew Hot & Iced Coffee Maker Black (Renewed) Bundle with 2 YR CPS Enhanced Protection Pack,Ninja,CRTE99NJCFP105RB,,New,Yes,No,No,,,,,,,,No
285,$26.00,"DEWALT ToughSystem Tool Box, 2.0 Two-Drawer, 21.8in. (DWST08320)",DEWALT,DWST08320,,New,Yes,No,No,,,,,,,,No
286,$5.00,"GABRYLLY Ergonomic Office Chair, High Back Home Desk Chair with Headrest, Flip-Up Arms, 90-120 Tilt Lock and Wide Cushion, Big and Tall Mesh Chairs for Man Woman, Black Task Chair",GABRYLLY,Office Chair,,New,Yes,No,No,,,,,,,,No
287,$8.00,"Filtrete 20x25x1 AC Furnace Air Filter, MERV 12, MPR 1500, CERTIFIED asthma & allergy friendly, 3 Month Pleated 1-Inch Electrostatic Air Cleaning Filter, 2-Pack (Actual Size 19.719x24.688x0.78 in)",,MPR 1500,,New,Yes,No,No,,,,,,,,No
288,$0.00,Outdoor Camping Bathing Tent Waterproof Outdoor Tent Automatic Pop-up Changing Quick-Open Shower Tent,JINBIXIANG,JINBIXIANG,,New,Yes,No,No,,,,,,,,No
289,$14.00,Bigzzia Vibration Plate Exercise Machine 10 Modes Whole Body Workout Vibration Fitness Platform w/ Loop Bands Jump Rope Bluetooth Speaker Home Training Equipment for Weight Loss & Toning,Bigzzia,Vibration Plate Exercise Machin,,New,Yes,No,No,,,,,,,,No
290,$8.00,"Huggies Size 4 Diapers, Little Movers Baby Diapers, Size 4 (22-37 lbs), 140 Ct (2 Packs of 70)",,00036000534986,,New,Yes,No,No,,,,,,,,No
291,$5.00,"Allesin Zebra Blinds for Windows Blackout Zebra Roller Window Shades,Light Gray 72 X 31 , Dual Layer Light Filtering UV and Privacy Protection for Day and Night for Home, Office pack of 5",Allesin,,,New,Yes,No,No,,,Pack of 5,,,,,No
292,$11.00,"Pyle 34"" Classical Acoustic Guitar - 6-String with Nylon Strings, Left-Handed, Accessory Kit Included - Natural PGACMS40LFT",,,842893169040,New,Yes,No,No,,,,,,,,No
293,$5.00,"YOCAN Freestanding Wooden Dog Gate - Foldable Pet Gate for Indoor Use, Doorways, Stairs, Halls, and House - Durable Dog Fence for Pets-5 Panel 16.9""",YOCAN,,,New(other),Yes,No,No,,,,,,,,No
294,$5.00,"14"" Bamboo Plate Set - Bamboo Reusable Plates - Rectangle Bamboo Plates - Bamboo Dinner Plates - Bamboo Dinnerware Set - Eco Friendly Plates (8 Pack / 14"" Rectangle)",Belari,BE-302-8,,New,Yes,No,No,,,"Stock photo is wrong,the cutting board has metal handles",,,,,No
295,$0.00,"PERLECARE 3 Inch Gel Memory Foam Mattress Topper for Pressure Relief, Premium Soft Cooling Sleep, Non-Slip Design with Removable & Washable Cover, CertiPUR-US Certified - Queen",PERLECARE,PERLECARE Gel Memory Foam Mattress Topper,,New,Yes,No,No,,,,,,,,No
296,$6.00,"Pampers Baby Diapers - Swaddlers - Size 1, 198 Count, Ultra Absorbent Disposable Infant Diaper",,SG_B07DCCP3Y1_US,,New,Yes,No,No,,,,,,,,No
297,$0.00,"NEEWER 59""x79""/150x200cm Light Reflectors for Photography, Portable 5 in 1 Collapsible Multi Disc with Bag - Translucent, Silver, Gold, Black, White Diffuser for Studio and Outdoor Lighting",,10071559,,New,Yes,No,No,,,,,,,,No
298,$5.00,"Dog Playpen - Foldable Metal Exercise Puppy Play Pen with 8 24x30in Panels - Indoor/Outdoor Pen with Door for Dogs, Cats or Small Animals by PETMAKER",PETMAKER,83-DT5298,,New(other),Yes,No,No,,,,,,,,No
299,$6.00,"Downy Ultra Soft Fabric Softener Liquid, Refresh, Birch Water and Botanicals, 93 fl oz, 138 Loads",,30772153918,,New(other),Yes,No,No,,,,,,,,No
300,$0.00,"VEVOR Rubber Curb Ramp for Driveway 1 Pack, 15T Heavy Duty Sidewalk Curb Ramp, 2.6"" Rise Height Curbside Bridge Ramp for Garage for Low Cars, Wheelchairs, L.O.A. 4FT",,JSPD35X60X10CM001,,New,Yes,No,No,,,,,,,,No
301,$5.00,"Filtrete 12x20x1 AC Furnace Air Filter, MERV 5, MPR 300, Capture Unwanted Particles, 3-Month Pleated 1-Inch Electrostatic Air Cleaning Filter, 6-Pack (Actual Size11.81x19.81x0.81 in)",,BD19-6PK-2E,,New,Yes,No,No,,,,,,,,No
302,$6.00,"O-Cedar EasyWring Microfiber Spin Mop, Bucket Floor Cleaning System, Red, Gray, Standard",O-Cedar,153185,,New,Yes,No,No,,,,,,,,No
303,$5.00,"Pipishell C Shaped End Table 27 inches High, Side Table for Couch Slide Under, C Table Sofa Side End Table for Living Room",Pipishell,C Shaped End Table,,New,Yes,No,No,,,,,,,,No
304,$5.00,Dakine Pipe Snowboard Bag,Dakine,Pipe Snowboard Bag,194626559766,New,Yes,No,No,,,,,,,,No
305,$5.00,"2-in-1 Indoor Pet Ramp, Wooden Folding 2-Tier Pet Stairs with Non-Slip Carpeted Steps, Ramp Perfect for Bed and Couch",,Pet Ramp,,New,Yes,No,No,,,,,,,,No
306,$5.00,"Waterdrop Alkaline Water Filter Dispenser, Large 40-Cup, Healthy, Clean & Toxin-Free Mineralized Alkaline Water, 100-Gallon, BPA Free, Black (1 Filter Included)",Waterdrop,WD-WFD-22L-A,,New,Yes,No,No,,,,,,,,No
307,$5.00,"O-Cedar EasyWring Microfiber Spin Mop, Bucket Floor Cleaning System, Red, Gray, Standard",O-Cedar,153185,,New,Yes,No,No,,,,,,,,No
308,$0.00,"Vittanly 18x24 Picture Frame with Plexiglass - Large Black Poster Frame for Wall Display - Includes 16x20 Mat, Made of Durable PVC Design - 1 Pack",Vittanly,,,New,Yes,No,No,,,,,,,,No
309,$5.00,"Art3d Plastic 3D Wall Panel PVC Wave Wall Design, White, 19.7"" x 19.7"" (12-Pack)",Art3d,A10040,712809593040,New,Yes,No,No,,,,,,,,No
310,$0.00,Germ Guardian HEPA Air Purifier Tower 189 sq ft,Germ Guardian,AC5250PT,895916000691,New,Yes,No,No,,,,,,,,No
311,$6.00,ProHeal Medical Overbed Table with Wheels and Adjustable Height - Mahogany Color Rolling Over Bed Bedside Table for Hospital and Home Use,ProHeal,PHP-16212H,,New,Yes,No,No,,,,,,,,No
312,$9.00,"Amazon Basics 2-Ply Toilet Paper, 30 Rolls = 120 Regular Rolls, 350 Sheets, (Pack of 30), Unscented",,421193,,New,Yes,No,No,,,,,,,,No
313,$7.00,"Depend Protection Plus Ultimate Underwear for Men, Small/Medium (92 Count)",Depend,1404569,036000523874,New,Yes,No,No,,,,,,,,No
314,$7.00,"Scott Professional 100% Recycled Fiber Standard Roll Bulk Toilet Paper (13217), 2-Ply, Elevated Design, White, Individually Wrapped (80 Rolls of 473 Sheets, 37,840 Sheet Total)",,13217,,New,Yes,No,No,,,,,,,,No
315,$5.00,"SCOTT 37490 Multi-Fold Towels, 8 x 9.4 in, (White 250 Towels/Clip, 16 Clips/case)",,37490,,New,Yes,No,No,,,,,,,,No
316,$5.00,AmazonCommercial 2-Ply White Ultra Plus Individually Wrapped Toilet Paper |Bulk|Septic Safe |Compatible with Standard Dispensers|FSC Certified |400 Sheets per Roll (24 Rolls)(4.1 x 3.6 Sheet),,416976,,New,Yes,No,No,,,,,,,,No
317,$6.00,"TEMI Toddler Toys for 3 4 5 6 Years Old Boys, Die-cast, Alloy Metal Emergency Fire Rescue Vehicle Transport Car / Truck Toys Set w/Play Mat for Age 3-9 Toddlers Kids Boys & Girls",,MG3001,,New,Yes,No,No,,,,,,,,No
318,$6.00,"16.9 Deep Pull out Cabinet Organizer Expandable, Peel and Stick Pull Out Drawers for Kitchen Bathroom Cabinet, 1 Pack",Dobyusf,,,New,Yes,No,No,,,,,,,,No
319,$0.00,"Boxup Makeup Organizer - Nail polishes Lipstick Holder And Skin Care Desk Accessories, Cute Small Beauty Cosmetics Table Organizers For Women & Teen Girls, Pretty Lip Stick Gloss Storage Stand",box up,FT-012,8681944170060,New,Yes,No,No,,,,,,,,No
320,$5.00,"Lava Lamp - 14.5"" Cosmic Wave - The Original Motion Light - Purple Wax and Blue Liquid - Item #2633 (Amazon Exclusive)",Lava,26330400US,,New,Yes,No,No,,,Blue,,,,,No
321,$0.00,"Halloween Pumpkin Decorations Stacked Pumpkin Yard Stakes Solar Pumpkin Lights-Light Up Pumpkin Decor Outdoor 4 Pack 17.5"" with Led Bulb for Yard Garden Lawn Decor",,DS-DDNG-24-1,,New,Yes,No,No,,,,,,,,No
322,$0.00,"1 Pack Collapsible Stackable storage bins with lids and Wheels,11.56 Gal Sturdy Plastic Foldable Box Trunk Bedroom organizers, 20.8""x14.8""x9.84"", sideway open, Under Bed Storage Container",,HMINYIYI,,New(other),Yes,No,No,,,,,,,,No
323,$5.00,"MOD Deep Round Plate - Dusted White (D10.25 Inch X H2.5 Inch, 6, Count)",Luzerne,MOD Collection,,New,Yes,No,No,,,,,,,,No
324,$5.00,"Bathroom Accessories Set, Elegant Handmade Floral Pattern, 5 Pcs Bathroom Accessory Set, Soap Dispenser, Toothbrush Holder, Qtip Holder, Complete Bathroom Sink Set, White",,ST24311W,,New,Yes,No,No,,,,,,,,No
325,$0.00,"Trump 2024 Flag 3x5 FT Outdoor Made in USA Double Sided 3 Ply, Large Donald Trump Flags 2024 Take America Back Flag, Heavy Duty Trump Garden Banner UV Protection Fade Resistant",,,,New,Yes,No,No,,,,,,,,No
326,$5.00,"9.8FT LED Neon Rope Light, APP/Remote Control, LED Strip Lights with Music Sync Multicolor Changing, IP67 Waterproof, DIY Design Neon Strip",AIONASA,16.4,,New,Yes,No,No,,,,,,,,No
327,$5.00,"American Flag 64 oz Water Bottle, Reusable Water Bottle with Straw, Leak Proof Water Bottles, 64oz Insulated Water Bottle, Thermos Water Bottle - Retired Navy Combat Vet Small Business (White, 64 Oz)",TRIDENT OWN THE DAY,TO-002 Bottles,,New,Yes,No,No,,,,,,,,No
328,$5.00,"Wing Rails for Grilling Chicken Wings Skewers Leg Rack for Grill Barbecue Fork BBQ Grilling Accessories for Outdoor Picnic Camping (10), Silver, JH-0511",,JH-0511,,New,Yes,No,No,,,,,,,,No
329,$0.00,4 Pack Fidget Gyroscope Balls LED Light Up Crystal Fidget Gyro Toys for Children Adults Anxiety Relief Gyro Ball for Birthday Party Favors& Classroom Prizes,,20230911,,New,Yes,No,No,,,,,,,,No
330,$5.00,QUOKKA Floor Puzzles for Kids Ages 3-5 - 48 Piece Round Puzzles for Kids 4-8 Years Old - Large Giant Educational Toddler Puzzles Ages 2-4 - World Activity Game Toy for Boys and Girls,,RoundPuzzleWorld,,New,Yes,No,No,,,,,,,,No
331,$0.00,The Dodo Yellow Mesh Dog Step-in Harness - Medium,The Dodo,,742797020259,New,Yes,No,No,,,,,,,,No
332,$5.00,"Dish Drying Rack - Large Capacity Stainless Steel Dish Rack for Kitchen Counter, 2-Tier Detachable Kitchen Organizers and Storage Rack with Drainboard and Cutlery Holder, Silver",slhsy,,,New,Yes,No,No,,,,,,,,No
333,$0.00,"HotHands Toe, Hand, & Body Warmer Variety Pack - Long Lasting Safe Natural Odorless Air Activated Warmers",HotHands,HH210PK48,,New(other),Yes,No,No,,,Open box,,,,,No
334,$6.00,"Philips Hue Smart 75W A19 LED Bulb - White and Color Ambiance Color-Changing Light - 1 Pack - 1100LM - E26 - Indoor - Control with Hue App - Works with Alexa, Google Assistant and Apple Homekit",Philips Hue,Bluetooth Bulb,046677563257,New,Yes,No,No,,,,,,,,No
335,$0.00,Mafulus Women's Sleeveless Jumpsuit Halter Neck Button Back Sexy Shorts Playsuit Romper,,KG1561FF0S,,New,Yes,No,No,,,,,,,,No
336,$0.00,"Mid High Fire White Stoneware Clay | Cone 5-10 | Versatile for Wheel Throwing, Hand Building, Sculpting | Suitable for All Skill Levels. 10 lbs",Old Potters,,196852418916,New,Yes,No,No,,,,,,,,No
337,$5.00,"SRIWATANA Floating Shelves for Wall Decor, Wood Wall Shelves for Bathroom, Bedroom, Kitchen, Living Room, Set of 6 (Weathered Black)",SRIWATANA,,,New,Yes,No,No,,,,,,,,No
338,$0.00,"PUR LUV K9 Krave Combos Mini Bones Dog Treat, Peanut Butter and Chicken Jerky Flavor, 20 Count",Pur Luv,84719,818145019340,New,Yes,No,No,,,,,,,,No
339,$0.00,Hezbjiti 2 Pack Halloween Decoration Tree,Hezbjiti,,,New,Yes,No,No,,,,,,,,No
340,$5.00,Vintage Golf Wall Art Framed Life Lessons Inspirational Quote Poster Golf Pictures Motivational Painting Artwork for Living Room Office Club Home Decorations Ready to Hang (12 x 16 inch),,,,New,Yes,No,No,,,,,,,,No
341,$5.00,"YueTong 68"" All Metal Garden Tool Organizer,Adjustable Garage Wall Organizers and Storage,Heavy Duty Wall Mount Holder with Hooks for Broom,Rake,Mop,Shovel(4 Pack)",YueTong,,,New,Yes,No,No,,,,,,,,No
342,$5.00,"Cute Outdoor Halloween Decorations, Halloween Ghost Decorations Outside, Halloween Light up Ghost Kit for Halloween Porch Decoration 2 Pack",,Cute Ghost with Warm Light,,New,Yes,No,No,,,,,,,,No
343,$5.00,"Inflatable Pool Floats Adult with Canopy, Pool Float Chair with Cup Holder, Pool Floaties for Adults, Floating Pool Chair Lounge Floats for Adults",GLOPUS,1,,New,Yes,No,No,,,,,,,,No
344,$0.00,"Large Travel Duffel Bag & Tote Luggage - Perfect Overnight Weekender & Gym Bag for Men & Women - Water-Resistant, Shoe Compartment - 80L (27 X 15 X 12 inches) Pink",,Travel Duffel Bag,,New,Yes,No,No,,,,,,,,No
345,$0.00,Motorbike Bracket Easy Install Practical Stable GPS Bicycle Outdoor Universal 360 Rotation Handle Mount Motorcycle Phone Holder,,8012111044059,,New,Yes,No,No,,,,,,,,No
346,$0.00,R1 Concepts Concepts Performance Off-Road/Tow Brake Pads 2400-0729-00 Rear,R1 Concepts,R1 Concepts Concepts Performance Off-Road,,New,Yes,No,No,,,,,,,,No
347,$0.00,50L Cute Duffle Bag Women Travel - Weekender Bag for Women Travel - Hospital Bag for Labor and Delivery - Overnight Bag with Shoe Compartment(Leopard),,,,New,Yes,No,No,,,,,,,,No
348,$0.00,"PUR LUV K9 Krave Combos Mini Bones Dog Treat, Peanut Butter and Chicken Jerky Flavor, 20 Count",Pur Luv,84719,818145019340,New,Yes,No,No,,,,,,,,No
349,$7.00,"HELEN Garden Hose 5/8""x50 ft, All-weather Flexible and Lightweight - Kink Free, Solid Aluminum Fittings, Heavy Duty Water Hose- No Leak",HELEN,PVC-heilan50,,New,Yes,No,No,,,,,,,,No
350,$5.00,"PUPPBUDD Dog Beds for Large Dogs, Rectangle Washable Dog Bed Comfortable and Breathable Pet Sofa Warming Orthopedic Dog Bed for Large Medium Dogs",PUPPBUDD,,,New,Yes,No,No,,,,,,,,No
351,$5.00,"YueTong 68"" All Metal Garden Tool Organizer,Adjustable Garage Wall Organizers and Storage,Heavy Duty Wall Mount Holder with Hooks for Broom,Rake,Mop,Shovel(4 Pack)",YueTong,,,New,Yes,No,No,,,,,,,,No
352,$5.00,"OQQ Women 2 Piece Long Sleeve Tops (L)Seamless Stretch Fitted Underscrubs Layer Tee Shirts Tops Tea Leaf Beige, Large-XX-Large",,Women Tops OQ268,,New,Yes,No,No,,,,,,,,No
353,$6.00,"HELEN Garden Hose 5/8""x50 ft, All-weather Flexible and Lightweight - Kink Free, Solid Aluminum Fittings, Heavy Duty Water Hose- No Leak",HELEN,PVC-heilan50,,New,Yes,No,No,,,,,,,,No
354,$5.00,"AEKTBY Snackle Box Charcuterie Container | Divided Serving Tray with Lid and Handle | Portable Snack Tray | Clear Snack Organizer Box for Party, Picnic, Travel",,AEKTBY-002,,New,Yes,No,No,,,,,,,,No
355,$0.00,"Upgraded Magnetic Screen Door Thicker 255g/ Reinforced Mesh,Reversible Left Right Side Opening,Fit Door Size 36 x 80 Inch,Retractable Door Screen Magnetic Closure,Door Curtain for Single Front Door",Okayavo,OKA36x80,,New,Yes,No,No,,,,,,,,No
356,$0.00,3 in 1 Water Sprinkler Toys,,CY-6044,,New,Yes,No,No,,,,,,,,No
357,$0.00,3 in 1 Water Sprinkler Toys,,CY-6044,,New,Yes,No,No,,,,,,,,No
358,$0.00,"SRIWATANA Floating Shelves for Wall Decor, Wood Wall Shelves for Bathroom, Bedroom, Kitchen, Living Room, Set of 6 (Weathered Black)",SRIWATANA,,,New,Yes,No,No,,,,,,,,No
359,$0.00,"SRIWATANA Floating Shelves for Wall Decor, Wood Wall Shelves for Bathroom, Bedroom, Kitchen, Living Room, Set of 6 (Weathered Black)",SRIWATANA,,,New,Yes,No,No,,,,,,,,No
360,$0.00,"SRIWATANA Floating Shelves for Wall Decor, Wood Wall Shelves for Bathroom, Bedroom, Kitchen, Living Room, Set of 6 (Weathered Black)",SRIWATANA,,,New,Yes,No,No,,,,,,,,No
361,$5.00,Miracle LED Plant Survival Indoor Grow Light Kit - 4 Multi-Plant Red Spectrum 150W Replacement Grow Light Bulbs & 1 4-Socket Corded Fixture with SproutMatic Timer (4-Pack),Miracle LED,801022,,New,Yes,No,No,,,,,,,,No
362,$5.00,Miracle LED Hydroponics LED Indoor Grow Light Kit - Includes 2 Ultra Grow Red Spectrum 150W Replacement Grow Light Bulbs & 1 2-Socket Corded Fixture with SproutMatic Timer (2-Pack),Miracle LED,2-Socket MLED Hydroponics Ultra Grow Kit,,New,Yes,No,No,,,,,,,,No
363,$0.00,"SRIWATANA Floating Shelves for Wall Decor, Wood Wall Shelves for Bathroom, Bedroom, Kitchen, Living Room, Set of 6 (Weathered Black)",SRIWATANA,,,New,Yes,No,No,,,,,,,,No
364,$5.00,"Miracle LED Shroom Grow Indoor LED Grow Bulbs for Oyster, Shiitake, Lions Mane Mushrooms ect. With Ultra Grow 5K Full Spectrum Replace 150W LED Grow Bulbs (12-Pack)",Miracle LED,Shroom Grow Ultra Grow Full Bulbs,,New,Yes,No,No,,,,,,,,No
365,$0.00,"Miracle LED Modular Grow Solutions 3-Step Life Cycle Indoor Grow Light Kit - 1 Ea. Blue, Full & Red Spectrum 150W Replacement Grow Bulbs & 1 Clamp Fixture with 1 2-Outlet SproutMatic Timer",Miracle LED,603308,,New,Yes,No,No,,,,,,,,No
366,$0.00,"23"" Calming Dog Bed,Anti Anxiety Donut Dog Bed,Plush Round Pet Beds for Small Dogs,Fluffy Faux Fur Cat Bed,Washable Cuddler Dog Bed(Brown,Small)",PuppyPalace,,,New,Yes,No,No,,,,,,,,No
367,$0.00,Martha Stewart MTS-RGS1 Rotatable Grass Lawn Shears with Adjustable Pivot Angular Head,Martha Stewart,MTS-RGS1,842470118881,New,Yes,No,No,,,,,,,,No
